GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final-project,ru.sberstart.finalproject.bankaccount.api.dto.request,BankAccountTransactionRequestDTO,21,0,0,0,1,0,4,0,4,0
final-project,ru.sberstart.finalproject.bankaccount.api.dto.request,BankAccountCreationRequestDTO,15,0,0,0,1,0,3,0,3,0
final-project,ru.sberstart.finalproject.bankaccount.application.manager,BankAccountManager,58,7,4,0,18,2,8,2,6,2
final-project,ru.sberstart.finalproject.jooq.tables.daos,BankaccountsDao,131,0,0,0,23,0,21,0,21,0
final-project,ru.sberstart.finalproject.jooq.tables.daos,BanksDao,79,0,0,0,15,0,13,0,13,0
final-project,ru.sberstart.finalproject.jooq.tables.daos,CardsDao,118,0,0,0,21,0,19,0,19,0
final-project,ru.sberstart.finalproject.jooq.tables.daos,UsersDao,144,0,0,0,25,0,23,0,23,0
final-project,ru.sberstart.finalproject.jooq.tables.daos,UserrolesDao,53,0,0,0,9,0,7,0,7,0
final-project,ru.sberstart.finalproject.jooq.tables.daos,RolesDao,66,0,0,0,13,0,11,0,11,0
final-project,ru.sberstart.finalproject.jooq.tables.daos,DatabasechangeloglockDao,79,0,0,0,15,0,13,0,13,0
final-project,ru.sberstart.finalproject.jooq.tables.daos,CardsecretsDao,92,0,0,0,17,0,15,0,15,0
final-project,ru.sberstart.finalproject.bank.domain.entity,Bank,29,0,0,0,12,0,6,0,6,0
final-project,ru.sberstart.finalproject.bank.domain.entity,Bank.Builder,28,0,0,0,8,0,5,0,5,0
final-project,ru.sberstart.finalproject.card.infrastructure.configuration,CardConfiguration,0,45,0,0,0,9,0,9,0,9
final-project,ru.sberstart.finalproject.user.api.dto.response,UserActiveResponseDTO,33,0,0,0,1,0,6,0,6,0
final-project,ru.sberstart.finalproject.user.api.dto.response,UserCreationResponseDTO,21,0,0,0,1,0,4,0,4,0
final-project,ru.sberstart.finalproject.user.api.dto.response,UserDeactivateResponseDTO,15,0,0,0,1,0,3,0,3,0
final-project,ru.sberstart.finalproject.user.api.dto.response,UserRolesResponseDTO,15,0,0,0,1,0,3,0,3,0
